accession	species	gene	locality	specimen_voucher	isolate	paper_doi	notes
AB988824	kurodai	CO1	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype（タイプ産地: 東京）
AB988825	kurodai	CO1	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype
AB988980	kurodai	cytb	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype
AB988981	kurodai	cytb	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype
AB988902	kurodai	ND5	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype
AB988903	kurodai	ND5	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; topotype
AB988745	kurodai	E3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988746	kurodai	E3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988747	kurodai	E3	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988663	kurodai	sreb2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988664	kurodai	sreb2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120845	KU-TK100705-2	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988665	kurodai	sreb2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120846	KU-TK100705-3	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
AB988581	kurodai	RAG2	Japan: Tokyo, Shinjuku Gyoen	NSMT:P:120844	KU-TK100705-1	10.1016/j.ympev.2015.04.012	Yamasaki et al. 2015; 核DNA; topotype
